q_name,weights,col
1.36,0.1,1.36.04
1.36,0.1,1.36.03
1.36,0.1,1.36.09
1.36,0.1,1.36.01
1.36,0.1,1.36.05
3.01,1,3.01.00
3.01,1,3.01.01
3.01,1,3.01.03
3.01,1,3.01.02
3.02,0.1,3.02.00
3.02,0.1,3.02.05
3.02,0.1,3.02.03
3.02,0.1,3.02.04
3.02,0.1,3.02.02
3.02,0.1,3.02.01
3.03,0.1,3.03.00
3.03,0.1,3.03.13
3.04,0.1,3.04.00
3.04,0.1,3.04.01
3.05,0.1,3.05.00
3.05,0.1,3.05.06
3.05,0.1,3.05.01
3.05,0.1,3.05.03
3.06,0.1,3.06.00
3.06,0.1,3.06.01
3.06,0.1,3.06.02
3.07,0.1,3.07.00
3.07,0.1,3.07.02
3.07,0.1,3.07.06
3.07,0.1,3.07.05
3.07,0.1,3.07.03
3.07,0.1,3.07.04
3.07,0.1,3.07.01
3.08,0.1,3.08.00
3.08,0.1,3.08.02
3.08,0.1,3.08.06
3.08,0.1,3.08.03
3.08,0.1,3.08.23
3.08,0.1,3.08.09
3.08,0.1,3.08.10
3.08,0.1,3.08.01
3.08,0.1,3.08.04
3.08,0.1,3.08.11
3.08,0.1,3.08.07
3.08,0.1,3.08.12
3.08,0.1,3.08.14
3.08,0.1,3.08.15
3.08,0.1,3.08.05
3.08,0.1,3.08.22
3.09,0.1,3.09.00
3.09,0.1,3.09.14
3.09,0.1,3.09.13
3.09,0.1,3.09.04
3.09,0.1,3.09.03
3.09,0.1,3.09.12
4.01,0.1,4.01.00
4.01,0.1,4.01.01
4.01,0.1,4.01.03
4.01,0.1,4.01.02
4.03,0.1,4.03.00
4.03,0.1,4.03.03
4.03,0.1,4.03.01
4.03,0.1,4.03.02
4.04,0.1,4.04.00
4.04,0.1,4.04.01
4.05,0.1,4.05.00
4.05,0.1,4.05.01
4.05,0.1,4.05.08
4.05,0.1,4.05.10
4.05,0.1,4.05.04
4.06,0.1,4.06.00
4.06,0.1,4.06.02
4.06,0.1,4.06.03
4.06,0.1,4.06.01
4.07,0.1,4.07.00
4.07,0.1,4.07.02
4.07,0.1,4.07.07
4.07,0.1,4.07.01
4.07,0.1,4.07.06
4.07,0.1,4.07.04
4.07,0.1,4.07.03
4.08,0.1,4.08.00
4.08,0.1,4.08.03
4.08,0.1,4.08.01
4.10,0.1,4.10.00
4.10,0.1,4.10.03
4.10,0.1,4.10.01
4.10,0.1,4.10.02
4.11,0.1,4.11.00
4.11,0.1,4.11.05
4.11,0.1,4.11.07
4.12,0.1,4.12.00
4.12,0.1,4.12.03
4.12,0.1,4.12.01
4.13,0.1,4.13.00
4.17,0.1,4.17.00
4.17,0.1,4.17.03
4.17,0.1,4.17.02
4.19,0.1,4.19.00
4.19,0.1,4.19.07
5.01,0.1,5.01.00
5.01,0.1,5.01.02
5.01,0.1,5.01.03
5.01,0.1,5.01.08
5.01,0.1,5.01.07
5.01,0.1,5.01.04
5.01,0.1,5.01.01
5.02,0.1,5.02.00
5.02,0.1,5.02.03
5.02,0.1,5.02.01
5.02,0.1,5.02.02
5.03,0.1,5.03.00
5.03,0.1,5.03.03
5.03,0.1,5.03.04
5.03,0.1,5.03.05
5.04,0.1,5.04.00
5.04,0.1,5.04.02
5.04,0.1,5.04.05
5.04,0.1,5.04.01
5.05,0.1,5.05.00
5.05,0.1,5.05.03
5.05,0.1,5.05.01
5.05,0.1,5.05.04
5.05,0.1,5.05.05
5.08,0.1,5.08.00
5.08,0.1,5.08.03
5.08,0.1,5.08.02
5.08,0.1,5.08.05
5.08,0.1,5.08.04
6.01,1,6.01.00
6.01,1,6.01.02
6.01,1,6.01.03
6.01,1,6.01.01
6.02,0.1,6.02.00
6.02,0.1,6.02.01
6.02,0.1,6.02.02
6.04,0.1,6.04.00
6.04,0.1,6.04.07
6.07,1,6.07.00
6.07,1,6.07.03
6.07,1,6.07.01
6.08,0.1,6.08.00
6.08,0.1,6.08.10
6.08,0.1,6.08.04
6.08,0.1,6.08.09
6.08,0.1,6.08.08
6.08,0.1,6.08.01
6.08,0.1,6.08.02
6.09,1,6.09.00
6.09,1,6.09.01
6.09,1,6.09.03
6.10,1,6.10.00
6.10,1,6.10.03
6.10,1,6.10.01
6.10,1,6.10.02
